[2025-04-22 11:52:31,996][root][INFO] - Using device: cuda
[2025-04-22 11:52:32,121][root][INFO] - train_dataset: 36291, valid_dataset: 9332, test_dataset: 6222
[2025-04-22 11:52:32,121][root][INFO] - train_loader: 568, valid_loader: 146, test_loader: 98
[2025-04-22 12:14:23,493][root][INFO] - Epoch [1/50], Train_Loss: 1.9603, Val_Accuracy: 14.5092
[2025-04-22 12:25:36,062][root][INFO] - Epoch [2/50], Train_Loss: 1.9468, Val_Accuracy: 14.4664
[2025-04-22 12:35:29,285][root][INFO] - Epoch [3/50], Train_Loss: 1.9466, Val_Accuracy: 14.4664
[2025-04-22 12:45:23,604][root][INFO] - Epoch [4/50], Train_Loss: 1.9466, Val_Accuracy: 14.0913
[2025-04-22 12:55:49,085][root][INFO] - Epoch [5/50], Train_Loss: 1.9465, Val_Accuracy: 13.7805
[2025-04-22 13:06:15,445][root][INFO] - Epoch [6/50], Train_Loss: 1.9466, Val_Accuracy: 14.0913
[2025-04-22 13:16:42,315][root][INFO] - Epoch [7/50], Train_Loss: 1.9467, Val_Accuracy: 14.5092
[2025-04-22 13:27:06,000][root][INFO] - Epoch [8/50], Train_Loss: 1.9465, Val_Accuracy: 14.0913
[2025-04-22 13:36:48,239][root][INFO] - Epoch [9/50], Train_Loss: 1.9469, Val_Accuracy: 14.4664
[2025-04-22 13:46:35,926][root][INFO] - Epoch [10/50], Train_Loss: 1.9466, Val_Accuracy: 13.7805
[2025-04-22 13:57:02,583][root][INFO] - Epoch [11/50], Train_Loss: 1.9466, Val_Accuracy: 14.4771
[2025-04-22 14:07:27,650][root][INFO] - Epoch [12/50], Train_Loss: 1.9467, Val_Accuracy: 14.5092
[2025-04-22 14:17:52,719][root][INFO] - Epoch [13/50], Train_Loss: 1.9469, Val_Accuracy: 14.4771
